,case,normal_behaving_nodes_percentage,predicted,real,pings,window
81,grid9_1bh-5_2019-02-13_15:31_,100.0,normal,abnormal,200,100
82,rnd2_1bh-3_2019-02-14_17:02_,77.77777777777779,abnormal,abnormal,200,100
83,rnd2_1bh-6_2019-02-15_16:56_,88.88888888888889,normal,abnormal,200,100
84,rnd2_normal_2019-02-14_16:07_,100.0,normal,normal,200,100
85,rnd-2_1gh-3_2019-02-16_11:41_,77.77777777777779,abnormal,abnormal,200,100
86,rnd2_1bh-8_2019-02-15_17:28_,100.0,normal,abnormal,200,100
87,grid_1gh-3_2019-02-15_22:33_,33.33333333333333,abnormal,abnormal,200,100
88,grid9_1bh-3_2019-02-13_16:28_,11.11111111111111,abnormal,abnormal,200,100
89,grid9_1bh-3_2019-02-13_22:05_,11.11111111111111,abnormal,abnormal,200,100
90,grid9_1bh-6_2019-02-13_19:15_,66.66666666666666,abnormal,abnormal,200,200
91,grid9_1bh-6_2019-02-13_12:59_,88.88888888888889,normal,abnormal,200,200
92,grid9_normal_2019-02-13_18:51_,100.0,normal,normal,200,200
93,grid9_normal_2019-02-13_22:23_,100.0,normal,normal,200,200
94,grid9_normal_2019-02-13_17:05_,100.0,normal,normal,200,200
95,grid9_1bh-7_2019-02-13_20:02_,88.88888888888889,normal,abnormal,200,200
96,grid9_1bh-7_2019-02-13_15:08_,88.88888888888889,normal,abnormal,200,200
97,rnd_1gh-2_2019-02-16_08:37_,88.88888888888889,normal,abnormal,200,200
98,rnd_1bh-2_2019-02-14_15:38_,88.88888888888889,normal,abnormal,200,200
99,rnd_1bh-7_2019-02-14_13:57_,100.0,normal,abnormal,200,200
100,rnd_1bh-9_2019-02-14_15:15_,22.22222222222222,abnormal,abnormal,200,200
101,rnd_1gh-9_2019-02-16_10:36_,33.33333333333333,abnormal,abnormal,200,200
102,rnd_normal_2019-02-14_13:37_,100.0,normal,normal,200,200
103,rnd_1gh-7_2019-02-16_10:16_,100.0,normal,abnormal,200,200
104,grid_1gh-7_2019-02-15_21:28_,100.0,normal,abnormal,200,200
105,grid_1gh-9_2019-02-15_19:19_,88.88888888888889,normal,abnormal,200,200
106,grid_1gh-5_2019-02-15_22:09_,100.0,normal,abnormal,200,200
107,grid_1gh-6_2019-02-15_18:25_,88.88888888888889,normal,abnormal,200,200
108,grid9_1bh-9_2019-02-13_19:35_,88.88888888888889,normal,abnormal,200,200
109,grid9_1bh-9_2019-02-13_15:57_,100.0,normal,abnormal,200,200
110,grid9_1bh-5_2019-02-13_21:44_,100.0,normal,abnormal,200,200
111,grid9_1bh-5_2019-02-13_15:31_,100.0,normal,abnormal,200,200
112,rnd2_1bh-3_2019-02-14_17:02_,77.77777777777779,abnormal,abnormal,200,200
113,rnd2_1bh-6_2019-02-15_16:56_,88.88888888888889,normal,abnormal,200,200
114,rnd2_normal_2019-02-14_16:07_,100.0,normal,normal,200,200
115,rnd-2_1gh-3_2019-02-16_11:41_,77.77777777777779,abnormal,abnormal,200,200
116,rnd2_1bh-8_2019-02-15_17:28_,100.0,normal,abnormal,200,200
117,grid_1gh-3_2019-02-15_22:33_,44.44444444444444,abnormal,abnormal,200,200
118,grid9_1bh-3_2019-02-13_16:28_,11.11111111111111,abnormal,abnormal,200,200
119,grid9_1bh-3_2019-02-13_22:05_,11.11111111111111,abnormal,abnormal,200,200
