,label,type,count,std,mean,var,hop,packet loss,outliers,node,predicted,predicted number,correction number
103,grid9_normal_2019-02-13_18:51_,normal,50,29.009459118834787,95.316,841.5487183673469,2,0.0,4,aaaa::212:7402:2:202,normal,1,1
104,grid9_normal_2019-02-13_18:51_,normal,42,261.6683862582851,332.26190476190476,68470.3443670151,3,16.0,3,aaaa::212:7409:9:909,normal,1,1
105,grid9_normal_2019-02-13_18:51_,normal,50,34.724719184594996,166.1,1205.8061224489795,3,0.0,4,aaaa::212:7409:9:909,normal,1,1
106,grid9_normal_2019-02-13_18:51_,normal,49,32.498783336724266,166.53061224489795,1056.170918367347,3,2.0,1,aaaa::212:7409:9:909,normal,1,1
107,grid9_normal_2019-02-13_18:51_,normal,49,44.259650548402064,192.28571428571428,1958.916666666667,3,2.0,3,aaaa::212:7409:9:909,normal,1,1
108,grid9_normal_2019-02-13_22:23_,normal,47,42.73930288505923,109.16382978723404,1826.6480111008325,2,6.0,2,aaaa::212:7404:4:404,normal,1,1
109,grid9_normal_2019-02-13_22:23_,normal,49,51.93643821004265,112.01836734693879,2697.3936139455786,2,2.0,3,aaaa::212:7404:4:404,normal,1,1
110,grid9_normal_2019-02-13_22:23_,normal,50,84.99258812822853,107.058,7223.7400367346945,2,0.0,3,aaaa::212:7404:4:404,normal,1,1
111,grid9_normal_2019-02-13_22:23_,normal,49,68.43719431951116,139.39591836734692,4683.649566326531,2,2.0,3,aaaa::212:7404:4:404,normal,1,1
112,grid9_normal_2019-02-13_22:23_,normal,49,43.03898110501482,84.68367346938776,1852.353894557823,2,2.0,3,aaaa::212:7402:2:202,normal,1,1
113,grid9_normal_2019-02-13_22:23_,normal,49,73.78058180646639,117.06938775510206,5443.574251700679,2,2.0,3,aaaa::212:7402:2:202,normal,1,1
114,grid9_normal_2019-02-13_22:23_,normal,49,75.15110056856564,105.67142857142856,5647.687916666667,2,2.0,4,aaaa::212:7402:2:202,normal,1,1
115,grid9_normal_2019-02-13_22:23_,normal,35,118.0642776078303,214.44,13939.173647058822,2,30.0,3,aaaa::212:7402:2:202,normal,1,1
116,grid9_normal_2019-02-13_22:23_,normal,47,36.484723147184965,124.23829787234044,1331.1350231267345,3,6.0,2,aaaa::212:7407:7:707,normal,1,1
117,grid9_normal_2019-02-13_22:23_,normal,49,50.30217406818909,151.24081632653062,2530.308715986395,3,2.0,3,aaaa::212:7407:7:707,normal,1,1
118,grid9_normal_2019-02-13_22:23_,normal,49,60.05625969231927,148.23265306122448,3606.7543282312927,3,2.0,3,aaaa::212:7407:7:707,normal,1,1
119,grid9_normal_2019-02-13_22:23_,normal,37,93.149673948741,224.2864864864865,8676.861756756758,3,26.0,3,aaaa::212:7407:7:707,normal,1,1
120,grid9_normal_2019-02-13_22:23_,normal,41,62.359823291728546,227.9512195121951,3888.7475609756098,4,18.0,1,aaaa::212:7408:8:808,normal,1,1
121,grid9_normal_2019-02-13_22:23_,normal,48,80.9775355198295,205.85416666666666,6557.361258865249,4,4.0,1,aaaa::212:7408:8:808,normal,1,1
122,grid9_normal_2019-02-13_22:23_,normal,50,60.52481022738712,186.82,3663.2526530612245,4,0.0,5,aaaa::212:7408:8:808,normal,1,1
123,grid9_normal_2019-02-13_22:23_,normal,50,75.13304933277243,249.38,5644.975102040817,4,0.0,3,aaaa::212:7408:8:808,normal,1,1
124,grid9_normal_2019-02-13_22:23_,normal,46,143.4866248711294,188.0782608695652,20588.411516908214,3,8.0,3,aaaa::212:7405:5:505,normal,1,1
125,grid9_normal_2019-02-13_22:23_,normal,50,25.962988491862244,118.758,674.0767714285714,3,0.0,2,aaaa::212:7405:5:505,normal,1,1
126,grid9_normal_2019-02-13_22:23_,normal,50,48.3822766082366,134.998,2340.8446897959184,3,0.0,3,aaaa::212:7405:5:505,normal,1,1
127,grid9_normal_2019-02-13_22:23_,normal,49,91.4191377666624,160.5,8357.45875,3,2.0,4,aaaa::212:7405:5:505,normal,1,1
128,grid9_normal_2019-02-13_22:23_,normal,42,37.853424214180095,80.32142857142856,1432.8817247386758,1,16.0,2,aaaa::212:7403:3:303,normal,1,1
129,grid9_normal_2019-02-13_22:23_,normal,50,42.611503860160695,52.012,1815.7402612244898,1,0.0,2,aaaa::212:7403:3:303,normal,1,1
130,grid9_normal_2019-02-13_22:23_,normal,50,0.0,39.337999999999994,44.44566938775511,1,0.0,3,aaaa::212:7403:3:303,normal,1,1
131,grid9_normal_2019-02-13_22:23_,normal,50,24.11546205661591,48.72,581.5555102040818,1,0.0,2,aaaa::212:7403:3:303,normal,1,1
132,grid9_normal_2019-02-13_22:23_,normal,48,28.548694791369712,91.73958333333333,815.0279742907801,2,4.0,2,aaaa::212:7406:6:606,normal,1,1
133,grid9_normal_2019-02-13_22:23_,normal,50,11.823813570373087,86.02199999999999,139.80256734693876,2,0.0,2,aaaa::212:7406:6:606,normal,1,1
134,grid9_normal_2019-02-13_22:23_,normal,50,15.328544002105675,88.83200000000001,234.96426122448983,2,0.0,2,aaaa::212:7406:6:606,normal,1,1
135,grid9_normal_2019-02-13_22:23_,normal,50,29.097448937903085,99.536,846.6615346938775,2,0.0,2,aaaa::212:7406:6:606,normal,1,1
136,grid9_normal_2019-02-13_22:23_,normal,46,119.01736162068859,214.3913043478261,14165.132367149756,4,8.0,2,aaaa::212:740a:a:a0a,normal,1,1
137,grid9_normal_2019-02-13_22:23_,normal,50,23.251069758141437,159.2,540.6122448979593,4,0.0,3,aaaa::212:740a:a:a0a,normal,1,1
138,grid9_normal_2019-02-13_22:23_,normal,50,44.45497607646622,173.2,1976.2448979591836,4,0.0,4,aaaa::212:740a:a:a0a,normal,1,1
139,grid9_normal_2019-02-13_22:23_,normal,49,73.54732036813668,205.42857142857142,5409.208333333333,4,2.0,5,aaaa::212:740a:a:a0a,normal,1,1
140,grid9_normal_2019-02-13_22:23_,normal,49,154.47728271771982,154.85306122448978,23863.23087585034,3,2.0,2,aaaa::212:7409:9:909,normal,1,1
141,grid9_normal_2019-02-13_22:23_,normal,48,87.90401415627863,168.55625,7727.115704787234,3,4.0,4,aaaa::212:7409:9:909,normal,1,1
142,grid9_normal_2019-02-13_22:23_,normal,49,102.88068877320457,158.86326530612246,10584.43612244898,3,2.0,3,aaaa::212:7409:9:909,normal,1,1
143,grid9_normal_2019-02-13_22:23_,normal,49,54.435788797819555,152.48979591836735,2963.255102040817,3,2.0,1,aaaa::212:7409:9:909,normal,1,1
144,grid9_normal_2019-02-13_17:05_,normal,49,157.09226999606636,253.6530612244898,24677.98129251701,2,2.0,2,aaaa::212:7406:6:606,normal,1,1
145,grid9_normal_2019-02-13_17:05_,normal,47,108.63185417261631,243.89361702127658,11800.879740980576,2,6.0,3,aaaa::212:7406:6:606,normal,1,1
146,grid9_normal_2019-02-13_17:05_,normal,37,242.68894066669358,490.5405405405405,58897.92192192192,2,26.0,2,aaaa::212:7406:6:606,normal,1,1
147,grid9_normal_2019-02-13_17:05_,normal,42,177.80899721039515,300.0952380952381,31616.03948896631,2,16.0,3,aaaa::212:7406:6:606,normal,1,1
148,grid9_normal_2019-02-13_17:05_,normal,43,182.0314608089835,226.6674418604651,33135.45272425249,1,14.000000000000002,3,aaaa::212:7403:3:303,normal,1,1
149,grid9_normal_2019-02-13_17:05_,normal,35,102.83444653888104,165.6314285714286,10574.923394957981,1,30.0,3,aaaa::212:7403:3:303,normal,1,1
150,grid9_normal_2019-02-13_17:05_,normal,50,31.366256404236807,96.81999999999998,983.8420408163265,1,0.0,2,aaaa::212:7403:3:303,normal,1,1
151,grid9_normal_2019-02-13_17:05_,normal,33,58.04772788078111,116.23939393939395,3369.5387121212125,1,34.0,2,aaaa::212:7403:3:303,normal,1,1
152,grid9_normal_2019-02-13_17:05_,normal,34,215.20826873166672,617.3529411764706,46314.598930481276,3,32.0,1,aaaa::212:7409:9:909,normal,1,1
153,grid9_normal_2019-02-13_17:05_,normal,33,365.7540804262953,625.1212121212121,133776.04734848486,3,34.0,3,aaaa::212:7409:9:909,normal,1,1
154,grid9_normal_2019-02-13_17:05_,normal,45,370.8664670250417,479.8666666666667,137541.93636363634,3,10.0,4,aaaa::212:7409:9:909,normal,1,1
155,grid9_normal_2019-02-13_17:05_,normal,47,232.15687182589537,346.27659574468083,53896.813135985205,3,6.0,5,aaaa::212:7409:9:909,normal,1,1
156,grid9_normal_2019-02-13_17:05_,normal,39,309.37167615684723,591.5384615384615,95710.83400809715,4,22.0,2,aaaa::212:7408:8:808,normal,1,1
157,grid9_normal_2019-02-13_17:05_,normal,35,169.22660457941888,463.34285714285716,28637.643697478994,4,30.0,2,aaaa::212:7408:8:808,normal,1,1
158,grid9_normal_2019-02-13_17:05_,normal,32,431.3812761856365,905.53125,186089.8054435484,4,36.0,1,aaaa::212:7408:8:808,normal,1,1
159,grid9_normal_2019-02-13_17:05_,normal,38,273.06933164711484,471.7105263157895,74566.85988620199,4,24.0,3,aaaa::212:7408:8:808,normal,1,1
160,grid9_normal_2019-02-13_17:05_,normal,36,237.60907603850703,528.3888888888889,56458.073015873015,3,28.000000000000004,2,aaaa::212:7407:7:707,normal,1,1
161,grid9_normal_2019-02-13_17:05_,normal,47,259.9043017505773,499.40425531914894,67550.24606845513,3,6.0,2,aaaa::212:7407:7:707,normal,1,1
162,grid9_normal_2019-02-13_17:05_,normal,40,266.1514594342371,478.625,70836.59935897436,3,20.0,2,aaaa::212:7407:7:707,normal,1,1
163,grid9_normal_2019-02-13_17:05_,normal,27,296.208106177468,429.3703703703704,87739.24216524216,3,46.0,1,aaaa::212:7407:7:707,BH,0,1
