,label,type,count,std,mean,var,hop,packet loss,outliers,node,window,predicted,predicted number,correction number
106,grid_normal_2019-02-26_11:10_,normal,15,256.60085736411713,1170.0,65844.0,5,40.0,1,aaaa::212:7411:11:1111,25,normal,1,1
107,grid_normal_2019-02-26_11:10_,normal,14,351.4934542088207,901.4285714285714,123547.64835164834,5,44.0,1,aaaa::212:7411:11:1111,25,BH,0,1
108,grid_normal_2019-02-26_11:10_,normal,22,143.90925020432942,485.59090909090907,20709.87229437229,3,12.0,0,aaaa::212:740c:c:c0c,25,normal,1,1
109,grid_normal_2019-02-26_11:10_,normal,13,194.68729035466342,615.1538461538462,37903.14102564102,3,48.0,1,aaaa::212:740c:c:c0c,25,BH,0,1
110,grid_normal_2019-02-26_11:10_,normal,14,480.73648284072004,936.2142857142857,231107.56593406593,3,44.0,0,aaaa::212:740c:c:c0c,25,BH,0,1
111,grid_normal_2019-02-26_11:10_,normal,22,407.05640610229653,768.8181818181819,165694.91774891777,3,12.0,1,aaaa::212:740c:c:c0c,25,normal,1,1
112,grid_normal_2019-02-26_11:10_,normal,14,197.95909223322428,483.42857142857144,39187.8021978022,2,44.0,1,aaaa::212:7408:8:808,25,BH,0,1
113,grid_normal_2019-02-26_11:10_,normal,22,77.25015585800834,288.59090909090907,5967.5865800865795,2,12.0,0,aaaa::212:7408:8:808,25,normal,1,1
114,grid_normal_2019-02-26_11:10_,normal,23,360.8441409682943,457.69565217391306,130208.49407114626,2,8.0,1,aaaa::212:7408:8:808,25,normal,1,1
115,grid_normal_2019-02-26_11:10_,normal,22,404.7547731737409,426.95454545454544,163826.42640692642,2,12.0,1,aaaa::212:7408:8:808,25,normal,1,1
116,grid_normal_2019-02-26_11:10_,normal,19,270.7994985613021,580.421052631579,73332.36842105264,3,24.0,1,aaaa::212:740b:b:b0b,25,normal,1,1
117,grid_normal_2019-02-26_11:10_,normal,15,204.62532543535224,630.3333333333334,41871.52380952381,3,40.0,0,aaaa::212:740b:b:b0b,25,normal,1,1
118,grid_normal_2019-02-26_11:10_,normal,11,337.303828509658,744.4545454545455,113773.87272727276,3,56.00000000000001,0,aaaa::212:740b:b:b0b,25,BH,0,1
119,grid_normal_2019-02-26_11:10_,normal,12,295.3350819087712,638.0833333333334,87222.81060606061,3,52.0,1,aaaa::212:740b:b:b0b,25,BH,0,1
